"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1700025G04Rik",0.463534675615213,0.4752,0.238,0.258191946985052,0.256305167028503,0.291725105189341,149
"2210408F21Rik",0.619883040935672,0.6254,1.551,0.774759320260494,0.283735735144527,0.105189340813464,57
"2610037D02Rik",0.363636363636364,0.3725,0.3897,0.32527481254933,0.270777063700343,0.110799438990182,66
"2610307P16Rik",0.517115600448934,0.5164,0.4575,0.330960925032466,0.240137652832919,0.509116409537167,216
"4632427E13Rik",0.509132420091324,0.4973,0.5927,0.393829297634255,0.257742613920052,0.122019635343619,73
"4732440D04Rik",0.364864864864865,0.3532,1e-04,0.170207789470448,0.259906030451198,0.119214586255259,74
"4732471J01Rik",0.525900900900901,0.5171,0.0755,0.197424234343115,0.257742613920052,0.122019635343619,74
"4930523C07Rik",0.449367088607595,0.4552,1.6689,0.79950027091674,0.253141413780167,0.133239831697055,79
"5031425E22Rik",0.529411764705882,0.5294,1.1176,0.589075995628069,0.251507403989271,0.143057503506311,85
"9530026P05Rik",0.453260261520173,0.4599,0.6149,0.384120859488838,0.230038592725952,0.597475455820477,227
"9630014M24Rik",0.454166666666667,0.4554,2.9013,1.26525520417,0.249712448502317,0.152875175315568,80
"AW554918",0.477891156462585,0.473,0.3142,0.281044762464659,0.247013033871022,0.161290322580645,98
"Aak1",0.47411003236246,0.4755,0.1896,0.232646704010655,0.245361065925606,0.165497896213184,103
"Abca8a",0.572222222222222,0.5595,0.1249,0.254083739537566,0.31562856485371,0.0967741935483871,36
"Abcc4",0.757142857142857,0.7602,0.7669,0.465555496193523,0.266256427852907,0.113604488078541,70
"Abcc5",0.364978902953586,0.3653,0.2139,0.245898780438196,0.251507403989271,0.143057503506311,79
"Abcg2",0.557971014492754,0.5557,1.6097,0.779451606807435,0.256856420797222,0.123422159887798,69
"Abi1",0.53525641025641,0.5421,0.3151,0.282086062128626,0.248081445557788,0.267882187938289,156
"Ablim1",0.455265359026421,0.4575,0.1461,0.161440806622923,0.161835925315411,1.48387096774194,452
"Ablim3",0.476421229284665,0.4729,0.0874,0.192617814282087,0.24349960834684,0.483870967741935,227
"Acer2",0.441537010843942,0.4609,1.0107,0.538209715198005,0.235819638345753,0.190743338008415,101
"Ackr3",0.566216216216216,0.5569,0.5239,0.364495412368154,0.25284399315696,0.134642356241234,74
"Actn1",0.537634408602151,0.5263,2e-04,0.183372491130857,0.279954918120529,0.106591865357644,62
