"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.601388888888889,60,0.527247002864868,-4.30035826037847,0.00336030771159708,0.0133378367629546
"2210408F21Rik",0.38855421686747,83,-0.616671360448494,0.420161809782883,1,1
"2610035D17Rik",0.976190476190476,42,5.83289001416474,0,1,1
"2610307P16Rik",0.388888888888889,27,-0.807354922057604,-9.79405289337101,9.60653955180344e-06,4.69114297356206e-05
"3110082I17Rik",0.49685534591195,53,-0.129283016944966,0.668508242331889,1,1
"4632427E13Rik",0.452380952380952,70,-0.0703893278913981,1.10557580009775,1,1
"4732440D04Rik",0.203125,64,-2.15919859484925,-2.946635704087,0.0151988402247913,0.0565572227595599
"4732471J01Rik",0.634408602150538,93,0.758991900496205,0.7612105613713,1,1
"4933406I18Rik",0.432831325301205,166,-0.347923303420307,0.746959436029783,1,1
"5031425E22Rik",0.60974358974359,130,0.750021746991652,1.13092913080678,1,1
"5033421B08Rik",0.507575757575758,66,0.0721497857558351,0.838238124789243,1,1
"9530026P05Rik",0.524702380952381,48,-0.145850866463455,-51.8922028415822,2.2557366261966e-24,6.98376059470469e-23
"AW554918",0.48952380952381,70,0.0874628412503395,-13.5968170129223,1.84063739930803e-07,1.10011841472156e-06
"Aak1",0.396713615023474,71,-0.406625259462643,-1.33830299169674,0.10183255272564,0.34952725414477
"Abca1",0.502294447190641,289,0.134509935811679,5.80148281517728,1,1
"Abca8a",0.568025493025493,18,0,-45.7403702219331,1.12683593972887e-21,2.64294247681861e-20
"Abca9",0.542272727272727,220,0.186654640100013,54.7038723793193,1,1
"Abcc1",0.601449275362319,92,0.481126689736616,0.957323636620572,1,1
"Abcc3",0.5,57,-0.169925001442312,0.899203338800987,1,1
"Abhd12",0.508771929824561,76,-0.0857298740258843,-0.278303966754152,0.455630195477173,1
"Abi1",0.517202181876095,184,0.313660478903762,-6.74359583788302,0.000240197417289948,0.00103601629513237
"Abl2",0.538617886178862,82,0.132450296023649,-0.347834246978252,0.404242981942044,1
"Ablim1",0.461022050865801,64,0.15200309344505,-101.39428741309,5.14426069526566e-46,3.98165777813562e-43
"Ablim3",0.47463768115942,23,0.211504105193712,-13.8086076083206,1.47856957187688e-07,9.04674188642454e-07
"Abr",0.59775641025641,104,0.559427408614019,-19.2320277663273,5.57714628668334e-10,4.36031436958879e-09
"Abtb2",0.413690476190476,42,-0.29373120305671,-3.40767153991845,0.00903779388566306,0.0342437291837794
"Acap2",0.434959349593496,82,-0.398549376490275,-5.02145726201444,0.00152935042299749,0.00624652890448578
"Acer3",0.562141541699553,181,0.36118752533459,37.1374739843246,1,1
"Actr2",0.515151515151515,154,-0.084888897586513,4.11472464881368,1,1
"Actr3",0.446687370600414,161,-0.284303022587445,2.06149318364837,1,1
"Acvr1",0.617021276595745,47,0.454565863465481,-0.166744913495002,0.563611341429082,1
"Acvr2a",0.414814814814815,90,-0.574236094128098,1.08443155253919,1,1
"Acyp2",0.367222222222222,60,-0.84799690655495,-9.78561812782422,9.691739684205e-06,4.71786573306583e-05
"Adam10",0.535140562248996,83,0.278301162487104,-5.19722322605308,0.00126394885383638,0.00520370432377316
"Adam17",0.407142857142857,70,-0.366782330671623,1.01643080462487,1,1
"Adam19",0.56980056980057,117,0.666576266274808,0.199847000317448,1,1
"Adam22",0.284722222222222,60,-1.14886338591448,0.85245472059654,1,1
"Adam9",0.4996336996337,91,0.175849835399418,0.0010906419740877,1,1
"Adamts9",0.568475073313783,31,0.148098638989134,-29.0300847175674,2.54221847533202e-14,3.00408717543051e-13
"Adamtsl3",0.417233560090703,21,-0.658963082164933,-16.4012705514156,1.02011404966448e-08,6.92603749509042e-08
"Adap2",0.48478835978836,126,-0.131244533278252,0.290017113339559,1,1
"Adap2os",0.561224489795918,49,0.229481846122768,1.10793078153436,1,1
"Adarb1",0.258771929824561,38,-1.34103691783507,-1.57370887836218,0.0760472192111361,0.266941259271743
"Adcy7",0.582352941176471,85,0.485426827170242,0.973083763186793,1,1
"Adcy9",0.4898753894081,107,0,0.715672819280968,1,1
"Adgre1",0.568927064496685,158,0.429251358498545,-34.2546350401464,1.262825702224e-16,1.84420206324788e-15
