"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.509457364341085,215,-0.0675632838126345,8.75430203723334,1,1
"2210408F21Rik",0.474226804123711,97,-0.101283335837181,0.287156710695911,1,1
"2210408I21Rik",0.423076923076923,26,-0.0671141958585375,1.87077322827047,1,1
"2610307P16Rik",0.493078449328449,312,0.0740005814437767,-46.3269556998872,0,0
"2900026A02Rik",0.644345238095238,112,0.748461233004036,0.913791581506302,1,1
"4732440D04Rik",0.317708333333333,96,-1.13039663725568,0.223193477772213,1,1
"4732471J01Rik",0.308771929824561,114,-1.25375659224578,0.289667316564362,1,1
"4930523C07Rik",0.499183006535948,102,0,0.63167539214723,1,1
"5031425E22Rik",0.534722222222222,120,0.167456745851563,0.448985696750711,1,1
"5330438D12Rik",0.574626865671642,67,0.296981737757132,0.648641430969633,1,1
"9530026P05Rik",0.437946172933766,403,-0.211504105193712,-33.3244048749041,0,0
"9630014M24Rik",0.49,130,-0.134649526694782,2.89601131461492,1,1
"AU020206",0.585227272727273,88,0.655351828612554,0.384231274981602,1,1
"AW554918",0.534632034632035,154,0.0595010117486616,2.17334013359857,1,1
"Aak1",0.448863636363636,132,-0.457472765599241,0.886378425705573,1,1
"Abca8a",0.683760683760684,39,1.28950661719499,-4.70588956426018,0,0
"Abcb1a",0.679324894514768,79,1,0.28170375258064,1,1
"Abcc4",0.779696493982208,91,1.50250034052918,-3.73591666090203,0,0
"Abcc5",0.510869565217391,92,-0.0269670476002695,0.289889215384306,1,1
"Abcg2",0.582554517133956,107,0.43389652653016,0.812121415786606,1,1
"Abhd17b",0.367924528301887,53,-0.935869662580284,0.342241211342781,0.99,1
"Abi1",0.559055118110236,254,0.325875279404025,14.1128414903775,1,1
"Abi2",0.428571428571429,56,-0.209453365628949,1.26783150008291,1,1
"Ablim1",0.473479645826585,735,-0.165101082313965,10.8140057230261,1,1
"Ablim3",0.477808002808003,370,-0.207971905590277,-54.6441876982004,0,0
"Acer2",0.36235632183908,232,-0.967723596976244,-22.561652544012,0,0
"Acer3",0.605555555555556,60,0.569365645670138,1.12996162171689,1,1
"Ackr3",0.555645161290323,124,0.518467088934249,2.28903060309813,1,1
"Actn1",0.73030303030303,75,1.04580368961313,0.390695797034454,1,1
"Actn4",0.53859649122807,95,0.0515303006400814,0.498925735061732,1,1
"Actr2",0.478371501272265,131,-0.192645077942396,1.79269377616177,1,1
"Actr3",0.470873786407767,103,-0.0727563424353139,0.377383744500733,1,1
"Acvr2a",0.453125,128,-0.362570079384708,1.08112973606413,1,1
"Acyp2",0.392505411255411,264,-0.642738832000357,20.0352111598953,1,1
"Adam10",0.415631469979296,161,-0.64110557875869,3.96269480488718,1,1
"Adamts1",0.601025641025641,65,0.796466605914868,0.301391676270001,1,1
"Adamts9",0.530151482612766,452,0.108275851985764,5.29148438733898,1,1
"Adamtsl1",0.596774193548387,31,0.956931278108114,0.686874745189609,1,1
"Adamtsl3",0.326923076923077,130,-0.925999418556223,1.51820966016757,1,1
"Adarb1",0.525413711583924,141,0.0771678605224602,4.05490365310996,1,1
"Adcy9",0.534552845528455,82,0.148863385914482,0.362512297263947,1,1
"Adgrf5",0.524254087599952,399,0.1808628479272,-58.082200716842,0,0
