"","AR","N","log2FC","llr","pval","padj"
"1500004A13Rik",0.365942028985507,69,-0.754887502163469,-0.169057594562261,0.560919196110647,0.986979096135118
"1600010M07Rik",0.46304347826087,92,0.02106161552783,-11.6047203915201,1.45282356242098e-06,1.88468248803475e-05
"1700025G04Rik",0.479783037475345,169,0.0374747054186628,35.5936211801979,1,1
"2210408F21Rik",0.509785393978219,223,-0.1426043954428,1.22339836293395,1,1
"2210408I21Rik",0.584905660377358,53,0.55019708256048,0.0324017017375056,1,1
"2310014F06Rik",0.420289855072464,46,-0.62148837674627,2.27666139725733,1,1
"2610035D17Rik",0.840350877192982,95,1.94110631094643,-2.18738463409139,0.0364747682313747,0.132156115344345
"2610037D02Rik",0.433333333333333,135,-0.389042290745899,-24.1667300946034,3.59564213862404e-12,3.13010110383377e-10
"2610307P16Rik",0.507981220657277,71,0.0978473233981445,-2.14158113487252,0.0384916723408505,0.138431718349372
"2700097O09Rik",0.597014925373134,67,0.754887502163469,-1.89506606578988,0.0515555785010024,0.174739604181676
"3110056K07Rik",0.425146198830409,57,-0.505235308250422,-4.26246047016113,0.00350315968183267,0.0173479823765007
"4632427E13Rik",0.498940269749518,173,-0.0650950282218847,-11.6702794992558,1.35707965935139e-06,1.77439506448e-05
"4732440D04Rik",0.370616105637657,232,-0.696753326178713,2.27810780179567,1,1
"4732471J01Rik",0.361111111111111,48,-0.604071323668861,-1.05371522315387,0.146585273455186,0.377654076712826
"4833420G17Rik",0.771186440677966,59,1.53051471669878,0.0733390092957222,1,1
"4930523C07Rik",0.470588235294118,68,-0.144389909335175,0.16560156107775,1,1
"4930578G10Rik",0.712837837837838,74,1.49304001128012,-1.02483421116696,0.152239342580404,0.389132379481828
"4933406I18Rik",0.263157894736842,38,-1.77258950389693,0.551673817148078,1,1
"4933431K23Rik",0.512152777777778,48,-0.0365258760251144,11.3504698414334,1,1
"5031425E22Rik",0.56407867494824,230,0.415037499278844,13.158698182415,1,1
"5330438D12Rik",0.546626984126984,84,0.154722594798642,-8.8493930905376,2.58791687804825e-05,0.00023714207846492
"5430431A17Rik",0.414814814814815,54,-0.552541023028779,-5.69674706791508,0.000737017693294892,0.00435366880253483
"5830417I10Rik",0.921875,64,3.78659636189081,0.590878695207245,1,1
"6030458C11Rik",0.456896551724138,58,-0.37851162325373,-0.0872542100438594,0.676135724601422,1
"6820431F20Rik",0.640625,96,0.763559804177919,-0.468324130786613,0.33314131627872,0.661880765315319
"9330159M07Rik",0.102532679738562,102,-3.25238716163429,-15.9141708237344,1.68417207359624e-08,4.75004238465912e-07
"9330162G02Rik",0.173913043478261,46,-2.20163386116965,-14.1100482282675,1.08274524154565e-07,2.19737500554171e-06
"9530026P05Rik",0.60100629622114,256,0.509674373416919,2.54607892497796,1,1
"AW554918",0.481989247311828,124,-0.064851144349968,12.9442648910722,1,1
"Aak1",0.466392801251956,213,-0.0460473675194366,54.5126367559438,1,1
"Aatf",0.428861788617886,82,-0.440572591385981,-2.97741319795787,0.0146770481045118,0.0615357099236059
"Abca1",0.503033060357901,157,-0.0698214494975713,54.714701537739,1,1
"Abca6",0.563376493765715,167,0.599462070416271,4.65999906310523,1,1
"Abca8a",0.656349744184322,299,0.97893838447217,-0.295876245672559,0.441742240223295,0.818646123618296
"Abca8b",0.535551079936107,187,0.403022123122002,7.94611161260102,1,1
"Abca9",0.506955380577428,127,-0.258533013598853,0.678609891451316,1,1
"Abcc1",0.596899224806202,86,0.595609744920664,-11.9577215249748,1.00661025458138e-06,1.38168743657892e-05
"Abcc4",0.573924731182796,62,0.296981737757132,-5.67669431106452,0.000753104339547433,0.00444076498257203
"Abcc5",0.414607843137255,170,-0.481869007757053,-3.5758822460366,0.00748902718560188,0.0337516375067725
"Abcc9",0.346666666666667,50,-1.02974734339405,-5.71961708618619,0.000719094225937428,0.00426301738243909
"Abcd3",0.603634085213033,133,0.539365634281046,3.23635347246505,1,1
"Abce1",0.523504273504274,78,0.162271428898877,0.93250248812069,1,1
"Abhd17b",0.467871485943775,83,0.0285691521967708,-0.684885091420597,0.241851373390438,0.538025785592179
"Abhd18",0.426668769052875,151,-0.57390731221216,3.48266393959938,1,1
"Abhd2",0.402597402597403,77,-0.68684211474037,-1.05205825305835,0.146903170240692,0.378175632028178
"Abi1",0.641443916746336,248,1.45323830821119,4.64834388453943,1,1
"Abi2",0.474178403755869,71,-0.0995356735509145,-0.707797716729658,0.234129735754581,0.524374519889069
"Abi3bp",0.681765444787027,139,0.442943495848728,59.2232076377161,1,1
"Abl2",0.565359477124183,102,0.415037499278844,-1.38856576876148,0.0956192847009926,0.279177929206429
"Ablim1",0.464316250864156,318,-0.168734588775465,1.2111574384711,1,1
"Ablim3",0.569,50,0.485426827170242,-1.70029858406617,0.065172820669926,0.210291324514265
"Abra",0.455459355459355,99,-0.283792966000591,3.5667942779903,1,1
"Abtb2",0.528404405240357,161,0.125530882083859,24.0794780369395,1,1
"Acaca",0.525819672131148,122,0.0671141958585371,-7.94917126048583,6.68372244616853e-05,0.000540580778775684
"Acacb",0.477039381153305,158,-0.0351038009559159,-3.73861597807235,0.00624840585448137,0.0288683331936095
"Acad10",0.45021645021645,77,-0.397335497545385,-0.351744159627501,0.401614045050034,0.763528310934203
"Acadl",0.428194444444444,120,-0.572578776265324,-8.31586521181623,4.5385353709232e-05,0.000387945090620516
"Acadm",0.556315789473684,95,0.277533975528909,-7.40704100184588,0.000118646232490582,0.000889981263217338
"Acadsb",0.507978723404255,94,0,0.169103768695152,1,1
"Acap2",0.47038567493113,121,-0.212303603712864,-4.43560367929325,0.00289703476443948,0.0147436784627166
"Acat1",0.613690476190476,112,0.591719866896465,8.04988076488087,1,1
"Acbd3",0.432584269662921,89,-0.334419039070559,0.523679901238523,1,1
"Acbd5",0.506849315068493,73,0,-0.305293579738517,0.43456681985191,0.809814825391671
"Acbd6",0.445121951219512,82,-0.134929580086109,-1.87692796161672,0.0526858394540064,0.177298837145324
"Ace",0.528985507246377,46,0.0489096004809468,-0.21687848061984,0.51015119937412,0.914951658716153
"Acer2",0.473809523809524,42,0.296981737757132,0.790652752262112,1,1
"Acer3",0.574186991869919,82,0.371968777386958,5.83322393513643,1,1
"Acin1",0.404255319148936,94,-0.526068811667588,-0.827163157627368,0.198371117842901,0.470740070175262
"Ackr3",0.507382665296334,139,0.157952359776237,31.2502846976117,1,1
"Aco2",0.520072751322751,144,0.0499252253316824,-0.371740551294408,0.38854803366512,0.744480488476934
"Acot11",0.6,52,0.602664502454615,0.936520349320261,1,1
"Acot13",0.454268292682927,82,-0.195920209975257,-8.80737399403856,2.70482610701844e-05,0.000247170297293287
"Acox1",0.486006289308176,106,-0.069540933253077,32.7405406874561,1,1
"Acsl1",0.465658515658516,111,-0.129283016944967,3.61461390535095,1,1
"Acss1",0.607257495590829,135,0.577545029158673,-1.4236638729316,0.0915259522064068,0.269846568537249
"Acss3",0.369230769230769,65,-0.637429920615292,-5.39707884134006,0.00101820933137492,0.00583749821176473
"Actc1",0.383070866141732,127,-0.699490888747544,1.06031448813039,1,1
"Actc1dt",0.456730769230769,52,-0.121990524378611,-9.1652734675218,1.85705487167684e-05,0.000179623903962193
"Actn1",0.620567375886525,47,0.565597175854225,7.45810914892786e-05,1,1
"Actn2",0.517046351604414,178,0.250347307380231,-4.05766309594458,0.00438925742093567,0.0210429906499351
"Actn4",0.568181818181818,88,0.13245029602365,-0.712729469655613,0.232506974041993,0.521561982220665
"Actr10",0.444444444444444,75,-0.257157839497125,-0.64891066774986,0.254611565518115,0.555543056133541
"Actr2",0.409433962264151,106,-0.524661990453342,-1.45148812364579,0.088416165157276,0.263022189154918
"Actr3",0.499099099099099,148,0,3.68470526001391,1,1
"Acvr1",0.54424778761062,113,0.252387161634286,-1.19373068222262,0.122312110448409,0.333037196759091
"Acvr2a",0.517799352750809,103,0,-1.1323056297679,0.132359421282251,0.352158881541113
"Acyp2",0.423421710467404,280,-0.296572520610468,1.00685777111369,1,1
"Adam10",0.543764988009592,139,0.109229069754758,0.663840072352457,1,1
"Adam12",0.572072072072072,37,0.637429920615292,0.591343586072192,1,1
"Adam17",0.347796143250689,121,-0.788495894806288,-5.9043390372417,0.000589552770559825,0.00356533924133803
"Adam19",0.311598550181227,127,-1.1410923192346,-0.147961852898192,0.586449248838327,1
"Adam22",0.735952380952381,70,1.71620703399941,-1.85655423153834,0.0539867617641961,0.180210098805208
"Adam9",0.415591397849462,124,-0.354430734574692,-13.4233651029189,2.20246676460673e-07,3.81453406142359e-06
"Adamts1",0.506845238095238,48,0.227410496103072,14.4090396744572,1,1
"Adamts10",0.641350210970464,79,0.802060622388091,-6.52952253540421,0.000301823279006938,0.00201296654628014
"Adamts12",0.266222002635046,138,-1.30146399232765,7.31690574770403,1,1
"Adamts2",0.470454545454545,132,-0.0816837975937081,2.30281785079467,1,1
"Adamts3",0.523391812865497,57,0.350497247084133,10.10230866793,1,1
"Adamts5",0.569409110676234,146,0.277295098958964,9.66569525651747,1,1
"Adamts6",0.489779874213837,106,-0.0172779914318357,27.3156162071782,1,1
"Adamts9",0.508413168028553,104,0.0775366004710203,-1.57845888127338,0.075605805789216,0.233742061262361
"Adamtsl3",0.498080706270948,173,-0.0418201756946271,2.59540550701325,1,1
"Adamtsl4",0.49645390070922,47,-0.343954401217361,-1.72961492833221,0.0628996051060183,0.205064480367712
"Adamtsl5",0.426356589147287,129,-0.312384322216491,15.2612706488257,1,1
"Adap2",0.474747474747475,66,0,-1.05370930736504,0.14658640704331,0.377654076712826
"Adar",0.6,50,0.624490864907793,-0.10362732731906,0.648927740077259,1
"Adarb1",0.442072667217176,173,-0.335420331215476,47.7555695559804,1,1
"Adck1",0.560606060606061,55,0.39231742277876,0.969322471703563,1,1
"Adcy2",0.414133738601824,47,-0.299560281858908,14.2026779770653,1,1
"Adcy5",0.452380952380952,35,-0.231325546106456,3.34464386429789,1,1
"Adcy6",0.451515151515152,110,-0.296981737757132,9.56226151965274,1,1
"Adcy7",0.62962962962963,54,0.966833136064801,-0.221670567194707,0.505514224869608,0.908753843297173
"Adcy8",0.1875,32,-2.07800251200127,-0.242737859951603,0.485952453648469,0.881321664840535
"Adcy9",0.404136253041363,137,-0.516123624393158,-6.43837105831801,0.000332690884710726,0.00220004501761509
"Add1",0.521535580524345,89,0.103093492964103,-0.695708187617598,0.238166053356734,0.53161491531989
"Adgra3",0.486301369863014,73,-0.232660756790275,-1.09861743084646,0.138258553070498,0.361834884143361
"Adgrd1",0.394137806637807,132,-0.402546555095647,1.73994735632047,1,1
